algorithm,edge_group,split,dynamic_stage,value
BFS2Vec,doi_collectionSpecie,0.8,4th,0.15890858563859345
BFS2Vec,doi_collectionSpecie,0.8,1st,0.051815042453027656
BFS2Vec,doi_collectionSpecie,0.8,2nd,0.06034060959073174
BFS2Vec,doi_collectionSpecie,0.8,3rd,0.07578941912596011
BFS2Vec,doi_collectionSpecie,0.8,4th,0.0940472300935691
BFS2Vec,doi_collectionSpecie,0.8,1st,0.04383343617506522
BFS2Vec,doi_collectionSpecie,0.8,2nd,0.07353301837364996
BFS2Vec,doi_collectionSpecie,0.8,3rd,0.08376716332939602
BFS2Vec,doi_collectionSpecie,0.8,4th,0.08858307621061112
BFS2Vec,doi_collectionSpecie,0.8,1st,0.056527224595014317
BFS2Vec,doi_collectionSpecie,0.8,2nd,0.05233335062781592
BFS2Vec,doi_collectionSpecie,0.8,3rd,0.07140614330726994
BFS2Vec,doi_collectionSpecie,0.8,4th,0.10183854652125192
BFS2Vec,doi_collectionSpecie,0.8,1st,0.064230431943317
BFS2Vec,doi_collectionSpecie,0.8,2nd,0.06652052269262833
BFS2Vec,doi_collectionSpecie,0.8,3rd,0.07311814489150407
BFS2Vec,doi_collectionSpecie,0.8,4th,0.13393266350068342
BFS2Vec,doi_collectionSpecie,0.8,1st,0.052740891944885675
BFS2Vec,doi_collectionSpecie,0.8,2nd,0.06356682052313947
BFS2Vec,doi_collectionSpecie,0.8,3rd,0.07760587796731654
BFS2Vec,doi_collectionSpecie,0.8,4th,0.1183035012279727
BFS2Vec,doi_collectionSpecie,0.8,1st,0.048922768903233126
BFS2Vec,doi_collectionSpecie,0.8,2nd,0.06547292596083501
BFS2Vec,doi_collectionSpecie,0.8,3rd,0.07385613685550214
BFS2Vec,doi_collectionSpecie,0.8,4th,0.13880042017251223
BFS2Vec,doi_collectionSpecie,0.8,1st,0.07410420167437101
BFS2Vec,doi_collectionSpecie,0.8,2nd,0.056228509112204623
BFS2Vec,doi_collectionSpecie,0.8,3rd,0.07487401524868946
BFS2Vec,doi_collectionSpecie,0.8,4th,0.1274969410232847
BFS2Vec,doi_collectionSpecie,0.8,1st,0.04980234424221214
BFS2Vec,doi_collectionSpecie,0.8,2nd,0.05714614415948131
BFS2Vec,doi_collectionSpecie,0.8,3rd,0.08184838115859763
